EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, CNT, VALID, DT, TRIG
48746.630,73776.060,233122.700,335451.000,338038.300,-349194.300,334897.800,88311.240,174.000,1.000,2.144,0.000
48473.170,73436.590,231239.100,333765.500,336178.400,-347394.400,333123.100,91255.650,175.000,1.000,5.438,0.000
48189.360,73014.520,229451.800,331860.300,334376.900,-345394.700,331367.100,93987.300,176.000,1.000,2.408,0.000
47816.470,72443.160,227859.600,329960.600,332643.100,-343501.700,329571.900,96481.510,177.000,1.000,2.122,0.000
47442.630,71933.350,226215.100,328275.400,330870.600,-341818.000,327761.800,99095.740,178.000,1.000,2.417,0.000
47151.140,71570.790,224390.400,326618.000,329036.800,-340068.800,325993.200,101887.100,179.000,1.000,6.505,0.000
46872.470,71167.210,222600.300,324771.400,327239.300,-338123.700,324251.600,104526.400,180.000,1.000,2.513,0.000
46519.620,70621.800,220991.700,322884.600,325512.600,-336223.200,322483.900,106927.400,181.000,1.000,3.087,0.000
46148.570,70101.940,219386.400,321178.800,323770.900,-334516.700,320697.800,109387.600,182.000,1.000,0.015,0.000
45850.380,69722.300,217627.800,319542.300,321972.300,-332799.500,318944.100,112018.200,183.000,1.000,1.889,0.000
45584.510,69337.510,215859.500,317755.400,320189.400,-330909.400,317220.500,114553.800,184.000,1.000,2.472,0.000
45262.880,68824.390,214245.800,315894.500,318469.600,-329019.400,315479.500,116866.800,185.000,1.000,3.022,0.000
44907.120,68296.090,212669.800,314170.600,316751.000,-327300.700,313716.200,119181.100,186.000,1.000,0.009,0.000
44593.280,67870.140,210957.800,312536.500,314980.400,-325610.800,311971.300,121629.800,187.000,1.000,8.095,0.000
44313.810,67459.680,209197.000,310794.500,313209.100,-323774.400,310255.900,124026.700,188.000,1.000,4.524,0.000
44001.430,66952.590,207561.300,308966.000,311493.400,-321900.800,308536.000,126236.800,189.000,1.000,0.009,0.000
43652.710,66415.340,205990.800,307233.800,309793.400,-320164.700,306796.900,128407.800,190.000,1.000,1.874,0.000
43332.220,65965.760,204327.400,305601.400,308054.300,-318488.700,305069.200,130681.200,191.000,1.000,9.503,0.000
43054.190,65561.650,202609.000,303904.400,306306.500,-316701.400,303370.400,132941.800,192.000,1.000,0.014,0.000
42760.280,65089.580,200982.600,302118.500,304602.100,-314851.600,301674.300,135050.800,193.000,1.000,1.903,0.000
42427.360,64570.090,199429.700,300388.900,302919.900,-313103.300,299961.400,137096.000,194.000,1.000,16.047,0.000
42100.520,64103.370,197814.100,298753.800,301209.800,-311433.300,298251.600,139213.300,195.000,1.000,5.730,0.000
41805.540,63680.750,196134.000,297086.300,299483.000,-309688.900,296563.900,141336.900,196.000,1.000,0.014,0.000
41510.420,63217.640,194513.400,295338.300,297786.800,-307872.600,294883.900,143339.900,197.000,1.000,0.004,0.000
41188.810,62713.700,192967.800,293617.300,296116.600,-306122.600,293192.900,145264.000,198.000,1.000,0.004,0.000
40864.820,62245.430,191388.700,291977.500,294429.700,-304451.300,291500.700,147227.600,199.000,1.000,4.243,0.000
40566.260,61822.120,189751.500,290331.900,292726.000,-302740.000,289826.200,149211.700,200.000,1.000,2.563,0.000
40274.620,61370.540,188144.700,288622.800,291043.400,-300967.200,288163.700,151111.400,201.000,1.000,4.973,0.000
39962.070,60870.950,186597.600,286918.500,289385.500,-299232.100,286494.700,152931.100,202.000,1.000,3.576,0.000
39643.240,60394.260,185046.400,285278.300,287720.100,-297563.300,284822.500,154767.900,203.000,1.000,9.524,0.000
39344.130,59971.600,183463.900,283649.200,286040.200,-295876.200,283162.900,156624.400,204.000,1.000,0.013,0.000
39056.090,59546.420,181901.800,281972.900,284371.300,-294136.000,281514.100,158409.800,205.000,1.000,1.882,0.000
38756.560,59086.830,180392.800,280288.300,282722.900,-292413.000,279862.900,160114.600,206.000,1.000,6.026,0.000
38448.350,58634.490,178897.600,278649.700,281074.700,-290746.400,278208.900,161820.200,207.000,1.000,7.614,0.000
38151.740,58216.810,177381.600,277030.300,279415.900,-289080.300,276563.300,163547.800,208.000,1.000,3.489,0.000
37869.570,57801.470,175870.200,275381.700,277763.000,-287371.400,274927.900,165235.200,209.000,1.000,0.013,0.000
37583.450,57366.520,174395.800,273721.600,276127.200,-285658.900,273294.900,166867.800,210.000,1.000,10.315,0.000
37282.120,56934.100,172936.200,272092.500,274497.300,-283989.200,271662.100,168496.300,211.000,1.000,3.056,0.000
36977.690,56516.110,171454.900,270485.000,272862.500,-282342.400,270035.800,170134.600,212.000,1.000,0.018,0.000
36685.630,56083.390,169961.700,268862.400,271229.900,-280677.800,268417.700,171744.300,213.000,1.000,4.469,0.000
36400.940,55612.210,168489.300,267228.200,269608.500,-279001.700,266802.700,173319.800,214.000,1.000,2.426,0.000
36112.670,55135.790,167038.600,265610.800,267993.400,-277342.200,265188.100,174889.500,215.000,1.000,4.005,0.000
35822.580,54701.910,165591.400,264010.600,266376.600,-275695.100,263576.800,176456.300,216.000,1.000,6.651,0.000
35535.860,54300.800,164145.400,262406.200,264761.100,-274041.500,261972.000,177993.700,217.000,1.000,0.015,0.000
35250.370,53899.690,162710.300,260795.700,263153.600,-272386.500,260372.700,179499.700,218.000,1.000,8.363,0.000
34960.890,53484.020,161281.400,259195.000,261554.500,-270744.100,258777.700,180997.400,219.000,1.000,4.036,0.000
34666.520,53052.270,159847.000,257607.800,259959.500,-269112.200,257187.600,182497.700,220.000,1.000,0.010,0.000
34372.350,52615.130,158408.600,256023.100,258366.800,-267478.800,255602.200,183986.200,221.000,1.000,8.991,0.000
34084.980,52192.660,156976.500,254437.800,256778.000,-265839.700,254021.400,185450.500,222.000,1.000,0.012,0.000
33800.950,51782.770,155549.100,252855.600,255193.300,-264206.500,252443.800,186886.400,223.000,1.000,1.920,0.000
33511.710,51367.110,154125.100,251276.600,253611.000,-262587.000,250867.300,188299.500,224.000,1.000,8.589,0.000
33219.040,50945.100,152710.000,249701.500,252032.000,-260972.700,249293.300,189700.300,225.000,1.000,6.670,0.000
32933.090,50530.170,151302.500,248133.900,250457.600,-259355.100,247725.600,191091.700,226.000,1.000,0.014,0.000
32655.180,50129.910,149899.400,246571.700,248888.400,-257736.000,246165.300,192468.400,227.000,1.000,2.762,0.000
32374.710,49733.110,148502.500,245009.200,247324.600,-256124.000,244608.500,193820.600,228.000,1.000,0.011,0.000
32088.570,49324.420,147112.300,243448.400,245764.300,-254527.100,243051.700,195143.800,229.000,1.000,5.528,0.000
31807.820,48913.920,145727.500,241897.100,244205.600,-252938.300,241498.000,196452.500,230.000,1.000,6.456,0.000
31538.860,48522.050,144350.600,240353.300,242650.700,-251343.700,239952.600,197762.700,231.000,1.000,6.637,0.000
31272.500,48144.770,142984.500,238807.700,241103.300,-249745.900,238413.800,199054.300,232.000,1.000,0.014,0.000
30998.930,47763.060,141624.400,237262.000,239561.800,-248158.900,236875.700,200301.300,233.000,1.000,6.902,0.000
30721.590,47375.380,140259.800,235727.100,238021.300,-246586.600,235338.600,201520.100,234.000,1.000,2.421,0.000
30449.500,46992.290,138887.500,234201.600,236481.700,-245015.400,233808.200,202742.400,235.000,1.000,4.002,0.000
