metric,favor_dir,g1_mean,g1_median,g2_mean,g2_median,diff_g2_minus_g1_mean,p_two_sided,p_g2_smaller,p_g2_larger,p_favor_g2,cliffs_delta_g1_vs_g2,n1,n2
c1_tbr_slope,g2_smaller,-0.0015318105868781275,-0.0005867673723191319,-0.0011321653702825731,-0.0010710913159134759,0.00039964521659555433,0.9349733548351885,0.46748667741759425,0.5540822736266692,0.46748667741759425,0.02564102564102555,13,12
c1_tbr_leQ25_total_time_focus_s,g2_larger,97.97402523077189,93.72876799999824,95.58494316666781,99.75483000000085,-2.3890820641040733,0.9349733548351885,0.5540822736266692,0.46748667741759425,0.46748667741759425,-0.02564102564102566,13,12
d_tbr_geQ67_mean_gap_s,g2_smaller,2.466961195256995,0.4793095635934126,7.599286711494707,2.104169420655932,5.132325516237712,0.9537991725415175,0.47689958627075874,0.546123439213902,0.47689958627075874,0.020979020979021046,13,11
c1_tbr_leQ50_first_reach_s,g2_smaller,44.928736384613984,4.002647000000016,49.542264083333485,4.9364139999999805,4.613527698719501,0.97815558393493,0.489077791967465,0.5327339016561614,0.489077791967465,0.012820512820512775,13,12
c1_tbr_trend_r,g2_smaller,-0.15694131728088723,-0.08351169718622281,-0.15612125480548286,-0.17110469496255823,0.0008200624754043651,0.9783030753359442,0.4891515376679721,0.5325133225824058,0.4891515376679721,0.012820512820512775,13,12
c1_tbr_leQ25_max_sustain_s,g2_larger,17.657309384616035,12.980073999996435,18.046498666667826,13.98228150000034,0.3891892820517917,0.9783030753359442,0.5325133225824058,0.4891515376679721,0.4891515376679721,-0.012820512820512775,13,12
c2_tbr_leQ33_mean_gap_s,g2_smaller,10.884632557558412,7.681625291666598,12.847340013874849,7.527119030303104,1.962707456316437,1.0,0.5,0.5266208035401421,0.5,0.008547008547008517,13,9
c2_tbr_geQ67_mean_sustain_s,g2_larger,4.905933317668957,3.471838277777911,32.00228883878274,4.290872365385094,27.096355521113782,1.0,0.5231004137292412,0.5,0.5,-0.006993006993006978,13,11
d_tbr_leQ50_median_gap_s,g2_smaller,0.4150395769236583,-0.03251149999911007,0.061690222222707466,0.013582500000154596,-0.3533493547009508,1.0,0.5,0.5266208035401421,0.5,0.008547008547008517,13,9
c2_tbr_geQ67_mean_gap_s,g2_smaller,9.088930455445485,8.187442196721147,15.333362833386076,10.129167191489403,6.244432377940591,1.0,0.5,0.5231004137292412,0.5,0.006993006993007089,13,11
c1_tbr_min,g2_smaller,0.3089873030384363,0.3000710923040228,0.34733312068905353,0.2882648613295344,0.03834581765061723,1.0,0.5108484623320279,0.5108484623320279,0.5108484623320279,0.0,13,12
c1_tbr_leQ25_mean_sustain_s,g2_larger,5.471291037312586,2.729046235294124,3.6855119027287984,3.3412338481646535,-1.7857791345837875,1.0,0.5108484623320279,0.5108484623320279,0.5108484623320279,0.0,13,12
c1_tbr_geQ67_median_gap_s,g2_smaller,4.00253815384619,3.9971630000000005,4.339381541666719,4.233222500000132,0.3368433878205286,1.0,0.5108484623320279,0.5108484623320279,0.5108484623320279,0.0,13,12
